franchise_id,season_year,home_games,home_wins,home_attendance_total,avg_home_attendance,away_games,away_wins,away_attendance_total,avg_away_attendance,total_games,total_wins,Pct,total_attendance,attendance_avg
19,2008,41,21,641921,15656.609756097561,41,13,722027,17610.414634146342,82,34,0.4146341463414634,1363948,16633.51219512195
19,2009,41,19,621062,15147.853658536585,41,15,721059,17586.80487804878,82,34,0.4146341463414634,1342121,16367.329268292682
19,2010,41,8,537230,13103.170731707318,41,4,674292,16446.146341463416,82,12,0.14634146341463414,1211522,14774.658536585366
19,2011,41,19,581378,14179.951219512195,41,5,701058,17098.975609756097,82,24,0.2926829268292683,1282436,15639.463414634147
19,2012,33,9,460719,13961.181818181818,33,13,563677,17081.121212121212,66,22,0.3333333333333333,1024396,15521.151515151516
19,2013,41,26,704702,17187.853658536584,41,23,706824,17239.60975609756,82,49,0.5975609756097561,1411526,17213.731707317074
19,2014,41,28,707331,17251.975609756097,41,16,718662,17528.341463414636,82,44,0.5365853658536586,1425993,17390.158536585364
19,2015,41,19,698529,17037.29268292683,41,19,739614,18039.365853658535,82,38,0.4634146341463415,1438143,17538.329268292684
19,2016,41,14,620142,15125.414634146342,41,7,742352,18106.146341463416,82,21,0.25609756097560976,1362494,16615.780487804877
19,2017,41,13,632608,15429.463414634147,41,7,727958,17755.073170731706,82,20,0.24390243902439024,1360566,16592.268292682926
19,2018,41,15,640010,15610.0,41,13,725099,17685.341463414636,82,28,0.34146341463414637,1365109,16647.670731707316
19,2019,41,23,612597,14941.390243902439,41,19,741515,18085.731707317074,82,42,0.5121951219512195,1354112,16513.560975609755
19,2020,36,20,524907,16403.34375,36,15,573149,17910.90625,72,35,0.4861111111111111,1098056,15250.777777777777
19,2021,36,28,30491,1524.55,36,20,44199,3399.923076923077,72,48,0.6666666666666666,74690,1037.361111111111
19,2022,41,20,711539,17354.60975609756,41,24,715726,17456.731707317074,82,44,0.5365853658536586,1427265,17405.670731707316
19,2023,41,23,724439,17669.243902439026,41,22,750800,18312.19512195122,82,45,0.5487804878048781,1475239,17990.719512195123
19,2024,39,18,687086,17617.589743589742,39,11,704633,18067.51282051282,78,29,0.3717948717948718,1391719,17842.55128205128
20,2005,41,22,800144,19515.70731707317,41,11,719159,17540.463414634145,82,33,0.4024390243902439,1519303,18528.085365853658
20,2006,41,15,776176,18931.121951219513,41,8,720459,17572.170731707316,82,23,0.2804878048780488,1496635,18251.646341463416
20,2007,41,19,770617,18795.536585365855,41,14,737361,17984.414634146342,82,33,0.4024390243902439,1507978,18389.975609756097
20,2008,41,15,783739,19115.585365853658,41,8,714605,17429.39024390244,82,23,0.2804878048780488,1498344,18272.48780487805
20,2009,41,20,790801,19287.829268292684,41,12,729946,17803.560975609755,82,32,0.3902439024390244,1520747,18545.69512195122
20,2010,41,18,799550,19501.219512195123,41,11,709937,17315.536585365855,82,29,0.35365853658536583,1509487,18408.378048780487
20,2011,41,23,808879,19728.756097560974,41,19,739822,18044.439024390245,82,42,0.5121951219512195,1548701,18886.59756097561
20,2012,33,22,652179,19763.0,33,14,607438,18407.21212121212,66,36,0.5454545454545454,1259617,19085.10606060606
20,2013,41,31,780353,19033.0,41,23,749124,18271.317073170732,82,54,0.6585365853658537,1529477,18652.158536585364
20,2014,41,19,812292,19812.0,41,18,714321,17422.463414634145,82,37,0.45121951219512196,1526613,18617.231707317074
20,2015,41,10,812292,19812.0,41,7,715966,17462.585365853658,82,17,0.2073170731707317,1528258,18637.29268292683
20,2016,41,18,812292,19812.0,41,14,756070,18440.731707317074,82,32,0.3902439024390244,1568362,19126.365853658535
20,2017,41,19,810741,19774.170731707316,41,12,714466,17861.65,82,31,0.3780487804878049,1525207,18600.085365853658
20,2018,41,19,792608,19331.90243902439,41,10,745965,18194.268292682926,82,29,0.35365853658536583,1538573,18763.085365853658
20,2019,41,9,779087,19002.121951219513,41,8,720226,17566.48780487805,82,17,0.2073170731707317,1499313,18284.30487804878
20,2020,33,11,620789,18811.78787878788,33,10,586328,17767.515151515152,66,21,0.3181818181818182,1207117,18289.651515151516
20,2021,36,25,42131,1915.0454545454545,36,16,53185,3128.529411764706,72,41,0.5694444444444444,95316,1323.8333333333333
20,2022,41,17,763484,18621.560975609755,41,20,708915,17722.875,82,37,0.45121951219512196,1472399,17956.085365853658
