player_id,Player,Rank,Year Drafted,Age,Team,MP RS,OWS RS,DWS RS,WS RS,WS/48 RS,season_year,MP PO,OWS PO,DWS PO,WS PO,WS/48 PO,Impact,Year Started,franchise_id,teams_played_for,salary,allocated_salary,MP_Total,MP_RS_Cost,MP_TOT_Cost,WS_RS_Cost,WS_TOT_Cost,Impact_Cost,Rookie Contract Year
abrinal01,Álex Abrines,32,2013,25,Oklahoma City Thunder,588,0.1,0.6,0.6,0.053,2019,0.0,0.0,0.0,0.0,0.0,0.6,2017,21,1,3575183.0,3575183.0,588.0,6080.243197278912,6080.243197278912,5958638.333333334,5958638.333333334,5958638.333333334,7
achiupr01,Precious Achiuwa,20,2020,21,Miami Heat,737,0.3,1.0,1.3,0.085,2021,12.0,-0.1,0.0,-0.1,-0.309,0.9,2021,16,1,2582160.0,2582160.0,749.0,3503.609226594301,3447.4766355140187,1986276.923076923,2151800.0,2869066.6666666665,2
achiupr01,Precious Achiuwa,20,2020,22,Toronto Raptors,1725,0.4,2.1,2.5,0.07,2022,167.0,0.0,0.0,0.0,-0.014,2.5,2021,28,1,2711280.0,2711280.0,1892.0,1571.7565217391304,1433.0232558139535,1084512.0,1084512.0,1084512.0,3
achiupr01,Precious Achiuwa,20,2020,23,Toronto Raptors,1140,0.8,1.4,2.2,0.093,2023,0.0,0.0,0.0,0.0,0.0,2.2,2021,28,1,2840160.0,2840160.0,1140.0,2491.3684210526317,2491.3684210526317,1290981.8181818181,1290981.8181818181,1290981.8181818181,4
acresma01,Mark Acres,40,1985,25,Boston Celtics,1151,1.1,1.0,2.2,0.09,1988,158.0,0.1,0.2,0.2,0.068,3.0,1988,2,1,75000.0,75000.0,1309.0,65.16072980017377,57.29564553093965,34090.90909090909,31249.999999999996,25000.0,4
acresma01,Mark Acres,40,1985,26,Boston Celtics,632,0.4,0.5,0.9,0.066,1989,2.0,0.0,0.0,0.0,-0.454,0.9,1988,2,1,300000.0,300000.0,634.0,474.6835443037975,473.18611987381706,333333.3333333333,333333.3333333333,333333.3333333333,5
acresma01,Mark Acres,40,1985,28,Orlando Magic,1313,1.4,1.1,2.5,0.09,1991,0.0,0.0,0.0,0.0,0.0,2.5,1988,22,1,437000.0,437000.0,1313.0,332.8255902513328,332.8255902513328,174800.0,174800.0,174800.0,7
acresma01,Mark Acres,40,1985,29,Orlando Magic,926,1.1,0.8,1.9,0.097,1992,0.0,0.0,0.0,0.0,0.0,1.9,1988,22,1,547000.0,547000.0,926.0,590.7127429805615,590.7127429805615,287894.7368421053,287894.7368421053,287894.7368421053,8
acresma01,Mark Acres,40,1985,30,Washington Bullets,246,0.2,0.1,0.4,0.077,1993,0.0,0.0,0.0,0.0,0.0,0.4,1988,30,2,250000.0,83333.33333333333,246.0,338.7533875338753,338.7533875338753,208333.3333333333,208333.3333333333,208333.3333333333,9
acyqu01,Quincy Acy,37,2012,22,Toronto Raptors,342,0.7,0.4,1.1,0.157,2013,0.0,0.0,0.0,0.0,0.0,1.1,2013,28,1,665000.0,665000.0,342.0,1944.4444444444443,1944.4444444444443,604545.4545454545,604545.4545454545,604545.4545454545,2
