franchise_id,season_year,home_games,home_wins,home_attendance_total,avg_home_attendance,away_games,away_wins,away_attendance_total,avg_away_attendance,total_games,total_wins,Pct,total_attendance,attendance_avg,Team_Revenue,Ticket_Price,Operating_Income,LAFR,LAFA
2,2017,41,30,760690,18553.414634146342,41,23,750843,18313.243902439026,82,53.0,0.6463414634146342,1511533,18433.329268292684,257.0,64.7,85.0,0.03488056460369164,0.03359945731326515
2,2018,41,27,763584,18624.0,41,28,761262,18567.365853658535,82,55.0,0.6707317073170732,1524846,18595.682926829268,287.0,63.3,100.0,0.035843636817784436,0.033492760635479235
2,2019,41,28,763584,18624.0,41,21,765533,18671.536585365855,82,49.0,0.5975609756097561,1529117,18647.768292682926,304.0,72.5,88.0,0.03470715835140998,0.03375608902139331
2,2020,36,26,610864,19089.5,36,22,589088,18409.0,72,48.0,0.6666666666666666,1199952,16666.0,274.0,64.1,86.0,0.03461344113188479,0.03435102484441313
2,2021,36,21,30067,2505.5833333333335,36,15,57455,2872.75,72,36.0,0.5,87522,1215.5833333333333,211.0,0.72,46.0,0.03293787074617546,0.020063539769743406
3,2011,41,21,649694,15846.19512195122,41,13,675411,16473.439024390245,82,34.0,0.4146341463414634,1325105,16159.817073170732,,,,,0.029652433032668183
3,2012,33,4,486984,14757.09090909091,33,3,545638,16534.484848484848,66,7.0,0.10606060606060606,1032622,15645.787878787878,,,,,0.027670065840442796
3,2013,41,15,628293,15324.219512195123,41,6,677889,16533.878048780487,82,21.0,0.25609756097560976,1306182,15929.048780487805,,,,,0.028708145121084792
3,2014,41,25,636268,15518.731707317073,41,18,698106,17026.975609756097,82,43.0,0.524390243902439,1334374,16272.853658536585,,,,,0.028811997986364354
3,2015,41,19,704886,17192.341463414636,41,14,723833,17654.463414634145,82,33.0,0.4024390243902439,1428719,17423.40243902439,,,,,0.031175430848898324
3,2016,41,30,716894,17485.219512195123,41,18,729157,17784.317073170732,82,48.0,0.5853658536585366,1446051,17634.768292682926,,,,,0.03163603489710237
3,2017,41,22,710643,17332.756097560974,41,14,720119,17563.878048780487,82,36.0,0.43902439024390244,1430762,17448.317073170732,,,,,0.03138889579654088
3,2018,41,21,671404,16375.707317073171,41,15,722558,17623.365853658535,82,36.0,0.43902439024390244,1393962,16999.536585365855,,,,,0.029449508451857686
3,2019,41,25,676570,16501.70731707317,41,14,723570,17648.048780487807,82,39.0,0.47560975609756095,1400140,17074.878048780487,,,,,0.029909423389180585
3,2020,31,10,478591,15438.41935483871,34,13,597193,17564.5,65,23.0,0.35384615384615387,1075784,16550.523076923077,,,,,0.026912850211033103
3,2021,36,18,68255,3791.9444444444443,36,15,37821,2521.4,72,33.0,0.4583333333333333,106076,1473.2777777777778,,,,,0.045546177103929095
4,2011,41,28,603088,14709.463414634147,41,18,704368,17179.70731707317,82,46.0,0.5609756097560976,1307456,15944.585365853658,101.0,19.5,-26.0,0.025505050505050506,0.027525306579413985
