Ride name,Location,Opening date,Type,Manufacturer,Height,Length,Speed,Inversions,Duration,Capacity,Cost,Drop,Max vertical angle,G-force,Height Restriction,Park number
Saw – The Ride,Thorpe Park,13 March 2009,Steel – Euro-Fighter,Gerstlauer,100 ft (30 m),"2,362 ft (720 m)",55 mph (89 km/h),3,1:40,,£13.5 million,,100°,,,2
Schweizer Bobbahn,Heide Park,"August 19, 1978",Steel,Mack Rides,88.6 ft (27.0 m),"3,248 ft (990 m)",32.9 mph (52.9 km/h),,1:40,,,,,,,25
Scorpion,Busch Gardens Tampa Bay,"May 16, 1980",Steel,Anton Schwarzkopf,60.7 ft (18.5 m),"1,817.6 ft (554.0 m)",41 mph (66 km/h),1,1:30,,US$2.5 million – US$3 million,,,3.5,,24
Scorpion Express,Chessington World of Adventures,7 June 1987 as Runaway Train 19 March 2014 as Scorpion Express,Steel – Powered,Mack Rides,4.7 m (15 ft),259 m (850 ft),22.4 mph (36.0 km/h),0,105 seconds,700 riders per hour,"GB£300,000 (equivalent to £850,047 in 2019)",,,,,3
Scream,Six Flags Magic Mountain,"April 12, 2003",Steel,Bolliger & Mabillard,150 ft (46 m),"3,985 ft (1,215 m)",63 mph (101 km/h),7,3:00,"1,440 riders per hour",,141 ft (43 m),,4[1],,32
Screamin’ Eagle,Six Flags St. Louis,"April 10, 1976; 45 years ago",Wood,Philadelphia Toboggan Coasters,110 ft (34 m),"3,872 ft (1,180 m)",62 mph (100 km/h),0,2:30,,"$3,000,000 (1976)",92 ft (28 m),,,,36
Shaman,Gardaland,1985,Steel,Vekoma,98.5 ft (30.0 m),"2,296.7 ft (700.0 m)",43.5 mph (70.0 km/h),4,2 min,1000 riders per hour,,,,,,12
Shambhala,PortAventura Park,12 May 2012,,Bolliger & Mabillard,76 m (249 ft),"1,564 m (5,131 ft)",134 km/h (83 mph),0,3:00,"1,680 riders per hour",,78 m (256 ft),77.4°,3.8,,19
SheiKra,Busch Gardens Tampa Bay,"May 21, 2005",Steel,Bolliger & Mabillard,200 ft (61 m),"3,188 ft (972 m)",70 mph (110 km/h),1,2:20,,$13.5 million,,90°,4[1],,24
Shivering Timbers,Michigan's Adventure,1998,Wood,Custom Coasters International,122 ft (37 m),"5,383 ft (1,641 m)",57 mph (92 km/h),0,2:30,1200 riders per hour,"$4,500,000",,53.3°,3.8 g,,70
Shock Wave,Six Flags Over Texas,"April 22, 1978",Steel,Anton Schwarzkopf,116 ft (35 m),"3,600 ft (1,100 m)",60 mph (97 km/h),2,2:00,,,,,5.9,,34
Sidewinder,Hersheypark,"May 11, 1991",Steel – Shuttle – Boomerang,Vekoma,116.5 ft (35.5 m),935 ft (285 m),47 mph (76 km/h),"6 (3 forward, 3 backward)",1:48,760 riders per hour,,,,5.2,,15
Sierra Sidewinder,Knott's Berry Farm,"May 26, 2007",Steel – Spinning,Mack Rides,62.3 ft (19.0 m),"1,410 ft (430 m)",37 mph (60 km/h),0,,,,39 ft (12 m),,,,61
Silver Bullet,Knott's Berry Farm,"December 7, 2004",Steel – Inverted,Bolliger & Mabillard,146 ft (45 m),"3,125 ft (952 m)",55 mph (89 km/h),6,2:30,1300 riders per hour,"US$16,000,000",109 ft (33 m),40°,3,,61
Silver Star,Europa-Park,23 March 2002,Steel,Bolliger & Mabillard,73 m (240 ft),"1,620 m (5,310 ft)",127 km/h (79 mph),0,,"1,750 riders per hour",,67 m (220 ft),68.5°,4,,51
Silver Streak,Canada's Wonderland,"May 6th, 2001",Steel – Inverted,Vekoma,48.6 ft (14.8 m),"1,122.1 ft (342.0 m)",26 mph (42 km/h),0,1:16,650 riders per hour,,,,,,58
Skull Mountain,Six Flags Great Adventure,"June 3, 1996",Steel – Enclosed,Intamin,40.5 ft (12.3 m),"1,377 ft (420 m)",33 mph (53 km/h),0,1:24,1596[2] riders per hour,$5 million[1],37 ft (11 m),,2.3,,37
Sky Rocket,Kennywood Park,"June 29, 2010",Steel,Premier Rides,95 ft (29 m),"2,100 ft (640 m)",50 mph (80 km/h),3,1:05,,,,90°,0.8,,312
Skyrush,Hersheypark,"May 26, 2012",Steel,Intamin,200 ft (61 m),"3,600 ft (1,100 m)",75 mph (121 km/h),0,1:03,,"US$25,000,000",212 ft (65 m),85°,5,,15
Slinky Dog Dash,Disney's Hollywood Studios,"June 30, 2018",Steel – Family – Launched,Mack Rides,50 ft (15 m),,40 mph (64 km/h),0,2 minutes,,,,,,,7
SooperDooperLooper,Hersheypark,"July 4, 1977",Steel,Anton Schwarzkopf,75 ft (23 m),"2,614 ft (797 m)",45 mph (72 km/h),1,1:45,1175 riders per hour,$3 million,70 ft (21 m),,,,15
Space Fantasy: The Ride,Universal Studios Japan,"March 18, 2010",Steel – Spinning – Enclosed,Mack Rides,7 m (23 ft),"585 m (1,919 ft)",,0,275 seconds,1920 riders per hour,,,,,,284
Space Mountain,Disneyland,"May 27, 1977 (original)July 15, 2005 (reopening)[1]",Steel – Enclosed,Arrow Development (1977–2003)Dynamic Structures (2005–present)]],76 ft (23 m),"3,459 ft (1,054 m)",35[2] mph (56 km/h),0,3:00 min,"2,057 (11 rockets) 1,741 (10 rockets) 1,440 (9 rockets) riders per hour",,,,,,16
Speed of Sound,Walibi Holland,"April 22, 2000",Steel – Shuttle – Boomerang,Vekoma,116.5 ft (35.5 m),935 ft (285 m),47 mph (76 km/h),3 inversions. Each completed both forwards and backwards.,1:48,760 riders per hour,,,56°,5.2,,53
Spinball Whizzer,Alton Towers,27 March 2004,Steel – Spinning,Maurer AG,17 m (56 ft),"470 m (1,540 ft)",60 km/h (37 mph),0,1:15,950 riders per hour,"£3,500,000",,,,,1
Spinning Dragons,Worlds of Fun,"April 17, 2004",Steel – Spinning,Gerstlauer,54 ft (16 m),"1,345 ft (410 m)",31 mph (50 km/h),0,1 min 30sec,720 riders per hour,"$4,000,000 USD",50 ft (15 m),50°,,,63
Sprocket Rockets,Six Flags Great America,1998,Steel – Junior,Vekoma,27.9 ft (8.5 m),679.2 ft (207.0 m),21.7 mph (34.9 km/h),0,0:44,780 riders per hour,,18.0 ft (5.5 m),,,,38
Star Trek: Operation Enterprise,Movie Park Germany,14 June 2017,Steel – Launched,Mack Rides,40 m (130 ft),"720 m (2,360 ft)",90 km/h (56 mph),3,,,,,,,,310
Star Wars: Hyperspace Mountain,Disneyland Park (Paris),"May 7, 2017",Steel – Launched,Vekoma,105 ft (32 m),"3,281 ft (1,000 m)",44 mph (71 km/h),3,2:15,2400 riders per hour,,,,,,16
Stealth,Thorpe Park,15 March 2006,Steel – Launched,Intamin,62.5 m (205 ft),"400.0 m (1,312.3 ft)",80 mph (129 km/h),0,,,£12 Million,,90°,,,2
Steamin' Demon,Great Escape,"May 26, 1984[1]",Steel,Arrow Dynamics,95 ft (29 m),"1,565 ft (477 m)",45 mph (72 km/h),3,37 seconds,,,,,,,45
Steel Curtain,Kennywood,"July 13, 2019",Steel,S&S - Sansei Technologies,220 ft (67 m),"4,000 ft (1,200 m)",75 mph (121 km/h),9,2:00,,,205[1] ft (62 m),,,,312
Steel Eel,SeaWorld San Antonio,"March 6, 1999",Steel,D. H. Morgan Manufacturing,150 ft (46 m),"3,700 ft (1,100 m)",65 mph (105 km/h),0,1:40,1200 riders per hour,,150 ft (46 m),60°,3.5,,22
Steel Force,Dorney Park & Wildwater Kingdom,"May 30, 1997",Steel,D. H. Morgan Manufacturing,200 ft (61 m),"5,600 ft (1,700 m)",75 mph (121 km/h),0,3:00,"1,700 riders per hour","US$10,000,000",205 ft (62 m),61°,3.4,,69
Steel Lasso,Frontier City,"July 18, 2008; 13 years ago",Steel – Suspended Family Coaster,Chance Morgan,14.9 m (49 ft),293 m (961 ft),48.3 km/h (30.0 mph),0,43 Seconds,845 riders per hour,"$4,000,000 USD",,,2.2,,282
Steel Vengeance,Cedar Point,"May 5, 2018",Steel,Rocky Mountain Construction,205 ft (62 m),"5,740 ft (1,750 m)",74 mph (119 km/h),4,2:30,"1,200 riders per hour",,200 ft (61 m),90°,,,50
Steel Venom,Valleyfair,"May 17, 2003",Steel – Inverted – Launched,Intamin,185 ft (56 m),630 ft (190 m),68 mph (109 km/h),0,,950 riders per hour,"$8,500,000 USD",175 ft (53 m),90°,,,68
Steeplechase,Blackpool Pleasure Beach,1977,Steel – Racing,Arrow Dynamics,,,,0,,,"£813,000",,,,,273
Storm Chaser,Paultons Park,12 April 2021,Steel – Spinning,Mack Rides,65.6 ft (20.0 m),,,0,,,,,,,,49
Storm Runner,Hersheypark,"May 8, 2004",Steel – Launched,Intamin,150 ft (46 m),"2,600 ft (790 m)",75 mph (121 km/h),3,0:50,1200 riders per hour,"$12,500,000",180 ft (55 m),90°,5,,15
Streamliner Coaster,Six Flags Fiesta Texas,"March 14, 1992",Steel – Junior,Vekoma,,278.8 ft (85.0 m),,0,,670 riders per hour,,,,,,39
Super Grover's Box Car Derby,SeaWorld San Antonio,,Steel,Zierer,,800 ft (240 m),28 mph (45 km/h),0,,,,,,,,22
Superman El Último Escape,Six Flags México,"November 19, 2004",Steel,D. H. Morgan Manufacturing,219.8 ft (67.0 m),"5,577.4 ft (1,700.0 m)",74.6 mph (120.1 km/h),0,3:04,"1,600 riders per hour",,205 ft (62 m),60°,,,47
Superman The Ride,Six Flags New England,"May 5, 2000",Steel,Intamin,208 ft (63 m),"5,400 ft (1,600 m)",77 mph (124 km/h),0,2:35,1300 riders per hour,"Approx: $12,000,000",221 ft (67 m),72°,3.6,,43
Superman: Krypton Coaster,Six Flags Fiesta Texas,"March 11, 2000",Steel – Floorless Coaster,Bolliger & Mabillard,168 ft (51 m),"4,025 ft (1,227 m)",70 mph (110 km/h),6,2:35,1600 riders per hour,$20 million,163 ft (50 m),58°,3.8,,39
Superman: La Atracción de Acero,Parque Warner Madrid,6 April 2002; 19 years ago,Steel – Floorless Coaster,Bolliger & Mabillard,164.1 ft (50.0 m),"3,608.9 ft (1,100.0 m)",62.1 mph (99.9 km/h),7,2:26,,,,,,,298
Superman: Ultimate Flight,Six Flags Discovery Kingdom,"June 30, 2012[1]",Steel – Launched,Premier Rides,150 ft (46 m),863 ft (263 m),62 mph (100 km/h),1,45 seconds,,"$6,000,000 USD[2]",135 ft (41 m),90°,,,33
Talon,Dorney Park & Wildwater Kingdom,"May 5, 2001",Steel – Inverted,Bolliger & Mabillard,135 ft (41 m),"3,110 ft (950 m)",58 mph (93 km/h),4,2:00,1200 riders per hour,"$13,000,000 USD",120 ft (37 m),50°,4.5,,69
Tantrum,Six Flags Darien Lake,"May 25, 2018",Steel,Gerstlauer,98.4 ft (30.0 m),"1,246.7 ft (380.0 m)",52.8 mph (85.0 km/h),3,1:00,,,,97°,,,281
Taron,Phantasialand,30 June 2016,Steel,Intamin,30.0 m (98.4 ft),"1,320 m (4,330 ft)",117 km/h (73 mph),,,"1,200 riders per hour",,,,,,56
Tatsu,Six Flags Magic Mountain,"May 13, 2006",Steel – Flying,Bolliger & Mabillard,170 ft (52 m),"3,602 ft (1,098 m)",62 mph (100 km/h),4,2:00,"1,600 riders per hour","US$21,000,000",111 ft (34 m),,,,32
Tempesto,Busch Gardens Williamsburg,"April 25, 2015",Steel – Launched,Premier Rides,150 ft (46 m),863 ft (263 m),62 mph (100 km/h),1,,,,135 ft (41 m),,,,23
Tennessee Tornado,Dollywood,"April 17, 1999; 22 years ago",Steel,Arrow Dynamics,163 ft (50 m),"2,682 ft (817 m)",63 mph (101 km/h),3,1:48,"1,360 riders per hour","$8,000,000 USD($12.4 million in 2020 dollars[1])",128 ft (39 m),,3.7,,55
Texas Stingray,SeaWorld San Antonio,"February 22, 2020",Wood,Great Coasters International,96 ft (29 m),"3,379 ft (1,030 m)",55 mph (89 km/h),0,,,,100 ft (30 m),,,,22
The Backyardigans: Mission to Mars,Movie Park Germany,30 June 199619 March 20052008,Steel – Junior,Vekoma,8.5 m (28 ft),207 m (679 ft),34.9 km/h (21.7 mph),0,0:44,780 riders per hour,,,,,,310
The Barnstormer,Magic Kingdom,"October 1, 1996 (Barnstormer)March 12, 2012 (Great Goofini)",Steel – Junior,Vekoma,9.1 m (30 ft),207 m (679 ft),40.2 km/h (25.0 mph),0,1:00,,,,,,,6
The Bat,Kings Island,"April 9, 1993",Steel – Suspended,Arrow Dynamics,78 ft (24 m),"2,352 ft (717 m)",51 mph (82 km/h),0,1:52,"1,200 riders per hour",,70 ft (21 m),45°,2.9,,60
The Beast,Kings Island,"April 14, 1979",Wood,Kings Island,110 ft (34 m),"7,359 ft (2,243 m)",64.78 mph (104.25 km/h),0,4:10,"1,200 riders per hour",$3.2 million,141 ft (43 m),45°,3.6,,60
The Big One,Blackpool Pleasure Beach,28 May 1994,Steel,Arrow Dynamics,213 ft (65 m),"5,497 ft (1,675 m)",74 mph (119 km/h),0,3:00,"1,700 riders per hour",£12 million,205 ft (62 m),65°,3.5,,273
The Boss,Six Flags St. Louis,"April 29, 2000; 21 years ago",Wood,Custom Coasters International,122 ft (37 m),"4,631 ft (1,412 m)",66.3 mph (106.7 km/h),0,3:00,1400[1] riders per hour,,150 ft (46 m),,,,36
The Comet,Great Escape,"1948 (Crystal Beach), June 25, 1994 (relocation to Great Escape)",Wood,Philadelphia Toboggan Coasters,95 ft (29 m),"4,197 ft (1,279 m)",55 mph (89 km/h),,2:00,720 riders per hour,,87 ft (27 m),,,,45
The Flying Dinosaur,Universal Studios Japan,"March 18, 2016",Steel – Flying,Bolliger & Mabillard,151 ft (46 m),"3,687.7 ft (1,124.0 m)",62 mph (100 km/h),5,,,"JPY$10,000,000,000",124 ft (38 m),,,,284
The Great White,SeaWorld San Antonio,February 1997,Steel – Inverted,Bolliger & Mabillard,108 ft (33 m),"2,562 ft (781 m)",50 mph (80 km/h),5,2:00,1400 riders per hour,"$21,000,000",81.2 ft (24.7 m),,4.6,,22
The Grizzly,California's Great America,1986,Wood,Kings Island,91 ft (28 m),"3,250 ft (990 m)",55 mph (89 km/h),0,2:40,,,88 ft (27 m),,,,57
The Incredible Hulk Coaster,Universal's Islands of Adventure,"May 28, 1999",Steel – Launched,Bolliger & Mabillard,110 ft (34 m),"3,700 ft (1,100 m)",67 mph (108 km/h),7,2:15,1920 riders per hour,,104.9 ft (32.0 m),,4,,64
The Joker,Six Flags Discovery Kingdom,"May 29, 2016",,Rocky Mountain Construction,100 ft (30 m),"3,200 ft (980 m)",53 mph (85 km/h),3,2:00,,,,78°,,,33
The Joker,Six Flags México,"March 7, 2013",Steel – Spinning,Gerstlauer,48 ft (15 m),"1,351 ft (412 m)",31 mph (50 km/h),,,,,27 ft (8.2 m),,,,47
The Joker Funhouse Coaster,Six Flags Over Georgia,"September 4, 2004 [1]",Steel,Chance Manufacturing,,900 ft (270 m),30 mph (48 km/h),0,1:28[1],1000 riders per hour,,,,,,35
The Joker's Jinx,Six Flags America,"May 8, 1999",Steel – Launched,Premier Rides,78.8 ft (24.0 m),"2,705 ft (824 m)",60 mph (97 km/h),4,0:56,975 riders per hour,$10 million[1],,,4.5,,42
The New Revolution,Six Flags Magic Mountain,"May 8, 1976",Steel,Anton Schwarzkopf,113 ft (34 m),"3,457 ft (1,054 m)",55 mph (89 km/h),1,79 seconds,1400 riders per hour,"$2,000,000",83 ft (25 m),45°,4.9,,32
The Riddler Mindbender,Six Flags Over Georgia,"March 31, 1978",Steel,Anton Schwarzkopf,80 ft (24 m),"3,253 ft (992 m)",50 mph (80 km/h),2,2:33,1200 riders per hour,$2.8 million,,62°,,,35
The Riddler's Revenge,Six Flags Magic Mountain,"April 4, 1998",Steel – Stand-up,Bolliger & Mabillard,156 ft (48 m),"4,370 ft (1,330 m)",65 mph (105 km/h),6,3:00,"1,610 riders per hour",$14 million,146 ft (45 m),,4.2,,32
The Ride to Happiness,Plopsaland De Panne,"July 1, 2021",Steel – Spinning,Mack Rides,108.3 ft (33.0 m),"3,018.4 ft (920.0 m)",55.9 mph (90.0 km/h),6,,700-800 riders per hour,"€17,500,000[1]",,,,,54
The Smiler,Alton Towers,31 May 2013,Steel,Gerstlauer,,"3,838.6 ft (1,170.0 m)",52.8 mph (85.0 km/h),14,2:45,1200 riders per hour,"£18,000,000",98.4 ft (30.0 m),,4.8[1],,1
The Swarm,Thorpe Park,15 March 2012,Steel – Wing Coaster,Bolliger & Mabillard,38.6 m (127 ft),"775 m (2,543 ft)",59 mph (95 km/h),5,1:15,"1,100 riders per hour",,,,4.5,,2
The Walking Dead: The Ride,Thorpe Park Resort,23 March 1996(X:/ No Way Out) 31 March 2018(The Walking Dead: The Ride),Steel,Vekoma,41.7 ft (12.7 m),"1,312.3 ft (400.0 m)",27.7 mph (44.6 km/h),0,2:00,700 riders per hour,,32 ft (9.8 m),,2.4,,2
The Wild One,Six Flags America,1986,Wood,Dinn Corporation,98 ft (30 m),"4,000 ft (1,200 m)",53 mph (85 km/h),0,1:52,,,88 ft (27 m),,,,42
Thirteen,Alton Towers,20 March 2010,Steel,Intamin,65.6 ft (20.0 m),"2,480 ft (760 m)",42 mph (68 km/h),0,1:40,"1,400 riders per hour","£15,000,000[1]",60 ft (18 m),,3.2,,1
Thunder Run,Canada's Wonderland,"May 23, 1981 as Blauer Enzian, 1986 as Thunder Run",Steel – Powered – Mine Train,Mack Rides,10 m (33 ft),"330 m (1,080 ft)",64 km/h (40 mph),0,1:24,,$2.7M est.,,,,,58
Thunderation,Silver Dollar City,"April 10, 1993",Steel – Mine Train,Arrow Dynamics,81 ft (25 m),"3,022 ft (921 m)",48 mph (77 km/h),0,2:10,,,,,,,10
Thunderbolt,Six Flags New England,1941,Wood,Joseph E. Drambour,70 ft (21 m),"2,600 ft (790 m)",40 mph (64 km/h),0,1:00,,,,,,,43
Thunderbolt,Kennywood,1968,Wood,,70 ft (21 m),"3,250 ft (990 m)",55 mph (89 km/h),0,1:41,,,90 ft (27 m),,,,312
Thunderhawk,Dorney Park & Wildwater Kingdom,"March 30, 1924",Wood,Philadelphia Toboggan Coasters,80 ft (24 m),"2,767 ft (843 m)",45 mph (72 km/h),0,1:18,,,65 ft (20 m),45°,,,69
Thunderhead,Dollywood,"April 3, 2004",Wood,Great Coasters International,100.4 ft (30.6 m),"3,230 ft (980 m)",53.7 mph (86.4 km/h),0,2:30,,"$7,000,000($9.59 million in 2020 dollars[1])",100 ft (30 m),60°,,,55
Tigre de Sibérie,Le Pal,1990,Steel,Reverchon Industries,42.7 ft (13.0 m),"1,181.1 ft (360.0 m)",24.9 mph (40.1 km/h),,,,,,,,,303
Tigris,Busch Gardens Tampa,"April 19, 2019",Steel – Launched,Premier Rides,150 ft (46 m),863 ft (263 m),62 mph (100 km/h),1,,,,135 ft (41 m),,,,24
Tiki-Waka,Walibi Belgium,"April 7, 2018; 3 years ago",Steel,Gerstlauer,68.9 ft (21.0 m),"1,850.4 ft (564.0 m)",34.2 mph (55.0 km/h),0,1:50,600 riders per hour,"€7,800,000",,,,,14
Timber Wolf,Worlds of Fun,April 1989,Wood,Dinn Corporation,100 ft (30 m),"4,260 ft (1,300 m)",53 mph (85 km/h),0,2 min 13 sec,905 riders per hour,$3 million,95 ft (29 m),,,,63
Time Traveler,Silver Dollar City,"March 14, 2018",Steel – Spinning – Launched,Mack Rides,100 ft (30 m),"3,020 ft (920 m)",50.3 mph (81.0 km/h),3,1:57,,$26 million($26.8 million in 2020 dollars[1]),90 ft (27 m),90°,,,10
Time Warp,Canada's Wonderland,"May 2, 2004",Steel,Zamperla,15.3 m (50 ft),"390.99 m (1,282.8 ft)",41.4 km/h (25.7 mph),2,1:04,,,,,,,58
Titan,Six Flags Over Texas,"April 27, 2001",Steel,Giovanola,245 ft (75 m),"5,312 ft (1,619 m)",85 mph (137 km/h),0,3:30,1600 riders per hour,,255 ft (78 m),,,,34
Tom & Jerry,Parque Warner Madrid,6 April 2002; 19 years ago,Steel – Family,Zierer,26 ft (7.9 m),"1,181 ft (360 m)",22 mph (35 km/h),0,1:05,1250 riders per hour,,,,,,298
Tonnerre de Zeus,Parc Astérix,1997,Wood,Custom Coasters International,98 ft (30 m),"4,044 ft (1,233 m)",52 mph (84 km/h),,2:05,,,,,,,9
Tornado,Parque de Atracciones de Madrid,"May 23, 1999",Steel – Inverted,Intamin,98 ft (30 m),"2,624.7 ft (800.0 m)",49.7 mph (80.0 km/h),3,2:00,,,,,4,,321
Trailblazer,Hersheypark,May 14 1974,Steel,Arrow Development,43 ft (13 m),"1,600 ft (490 m)",35 mph (56 km/h),0,1:15,1125 riders per hour,,,,,,15
Troy,Toverland,29 June 2007,Wood,Great Coasters International,31.9 m (105 ft),"1,077.2 m (3,534 ft)",86.9 km/h (54.0 mph),0,~1:50[2],850 riders per hour,"€6,500,000[2]",30.7 m (101 ft),,2.4[2],,305
Twisted Colossus,Six Flags Magic Mountain,"May 23, 2015[1]",Steel,Rocky Mountain Construction,121 ft (37 m),"4,990 ft (1,520 m)",57 mph (92 km/h),2,3:40,,,128 ft (39 m),80°,,,32
Twisted Cyclone,Six Flags Over Georgia,"May 25, 2018",Steel,Rocky Mountain Construction,100 ft (30 m),"2,400 ft (730 m)",50 mph (80 km/h),3,,,,,75°,,,35
Twisted Timbers,Kings Dominion,"March 24, 2018",Steel,Rocky Mountain Construction,111 ft (34 m),"3,351 ft (1,021 m)",54 mph (87 km/h),3,,,,109 ft (33 m),,,,62
Twister,Knoebels Amusement Resort,"July 24, 1999",Wood,Knoebels Amusement Resort,101.5 ft (30.9 m),"3,900 ft (1,200 m)",51 mph (82 km/h),0,2:10 min,,"US$ 3,000,000",89.6 ft (27.3 m),,,,314
Typhoon,Bobbejaanland,10 April 2004,Steel – Euro-Fighter,Gerstlauer,25.7 m (84 ft),"670 m (2,200 ft)",80 km/h (50 mph),4,1:30,1400 riders per hour,"€5,000,000",,97°,5,,311
Untamed,Walibi Holland,"July 1, 2019",Steel,Rocky Mountain Construction,119.8 ft,3559.7 ft,57.2 mph,5,1:46,900 riders per hour,,116.1 ft,80°,,,53
Valkyria,Liseberg,10 August 2018,Steel – Dive Coaster,Bolliger & Mabillard,154.2 ft (47.0 m),"2,296.6 ft (700.0 m)",65.2 mph (104.9 km/h),3,,"1,100 riders per hour",,164 ft (50 m),,,,11
Valravn,Cedar Point,"May 7, 2016",Steel – Dive Coaster,Bolliger & Mabillard,223 ft (68 m),"3,415 ft (1,041 m)",75 mph (121 km/h),3,2:23,"1,200 riders per hour",,214 ft (65 m),90°,,,50
Vampire,Chessington World of Adventures,11 April 1990,Steel – Suspended,Arrow Dynamics,70 ft (21 m),"2,200 ft (670 m)",45 mph (72 km/h),0,,,,,,4,,3
Van Helsing's Factory,Movie Park Germany,18 June 2011,Steel – Enclosed,Gerstlauer,8 m (26 ft),"400 m (1,300 ft)",36 km/h (22 mph),0,1:50,848 riders per hour,€5 million,,,4,,310
Vapor Trail,Sesame Place,June 1998,Steel – Junior,Vekoma,43 ft (13 m),"1,300 ft (400 m)",27 mph (43 km/h),0,1:15,,,56 ft (17 m),,,,29
Verbolten,Busch Gardens Williamsburg,"May 18, 2012[1]",Steel – Launched,Zierer,,"2,835 ft (864 m)",53 mph (85 km/h),0,3:25,,,88 ft (27 m),,,,23
Vilda Musen,Gröna Lund,18 April 2003,Steel,Gerstlauer,68.11 ft (20.76 m),"1,410.9 ft (430.0 m)",34.2 mph (55.0 km/h),0,1:34,800 riders per hour,,,40°,,,166
Viper,Six Flags Magic Mountain,"April 7, 1990",Steel,Arrow Dynamics,188 ft (57 m),"3,830 ft (1,170 m)",70 mph (110 km/h),7,2:30,1700 riders per hour,"$8,000,000 USD",171 ft (52 m),55°,4.1,,32
Viper,Six Flags Great America,"April 29, 1995",Wood,Six Flags,100 ft (30 m),"3,458 ft (1,054 m)",50 mph (80 km/h),0,1:45,1000 riders per hour,,80 ft (24 m),53°,3.6,,38
Viper,Six Flags Darien Lake,"May 29, 1982",Steel,Arrow Dynamics,121 ft (37 m),"3,100 ft (940 m)",50 mph (80 km/h),5,2:04,2100 riders per hour,$6.5 million,75 ft (23 m),,,,281
Vogel Rok,Efteling,"April 9, 1998",Steel – Enclosed,Vekoma,82 ft (25 m),"2,296 ft (700 m)",40 mph (64 km/h),0,101 seconds,1600 riders per hour,€ 12 million,62 ft (19 m),,3.5,,160
Vortex,Canada's Wonderland,"May 12, 1991",Steel – Suspended,Arrow Dynamics,27.8 m (91 ft),"719.5 m (2,361 ft)",55 mph (89 km/h),,1:36,,,26 m (85 ft),,,,58
Vortex,Carowinds,"March 14, 1992",Steel – Stand-up,Bolliger & Mabillard,90 ft (27 m),"2,040 ft (620 m)",50 mph (80 km/h),2,2:19,,$5.5 million[1],,,,,59
Wakala,Bellewaerde,"July 1, 2020; 16 months ago",Steel – Family,Gerstlauer,68.9 ft (21.0 m),"2,165.4 ft (660.0 m)",31.1 mph (50.1 km/h),0,,1000 riders per hour,"€7,500,000",,,,,276
Wave Breaker: The Rescue Coaster,SeaWorld San Antonio,"June 16, 2017",Steel – Launched – Motorbike,Intamin,61 ft (19 m),"2,600 ft (790 m)",44 mph (71 km/h),0,,886 riders per hour,"$18,000,000",,,,,22
West Coast Racers,Six Flags Magic Mountain,"January 9, 2020",Steel – Launched,Premier Rides,67 ft (20 m),"4,000 ft (1,200 m)",55 mph (89 km/h),4,3:00,,,,,,,32
White Lightning,Fun Spot America,"June 7, 2013",Wood,Great Coasters International,69.7 ft (21.2 m),"2,032 ft (619 m)",44.3 mph (71.3 km/h),0,1:15,,$3.5 million,67.2 ft (20.5 m),58°,,,18
Wicked Cyclone,Six Flags New England,"May 24, 2015",Steel,Rocky Mountain Construction,109 ft (33 m),"3,320 ft (1,010 m)",55 mph (89 km/h),3,,,US$10 million,,78°,,,43
Wicker Man,Alton Towers,20 March 2018,Wood,Great Coasters International,,"2,608.3 ft (795.0 m)",43.6 mph (70.2 km/h),0,1:50,952 riders per hour,"£16,000,000",72.2 ft (22.0 m),,,,1
Wild Eagle,Dollywood,"March 24, 2012",Steel – Wing Coaster,Bolliger & Mabillard,210 ft (64 m),"3,127 ft (953 m)",61 mph (98 km/h),4,2:22,,"$20,000,000($22.5 million in 2020 dollars[1])",135 ft (41 m),,,,55
Wild Mouse,Hersheypark,"May 8, 1999",Steel,Mack Rides,45 ft (14 m),"1,213 ft (370 m)",28 mph (45 km/h),,1:58,835 riders per hour,,,,,,15
