Ride name,Location,Opening date,Type,Manufacturer,Height,Length,Speed,Inversions,Duration,Capacity,Cost,Drop,Max vertical angle,G-force,Height Restriction,Park number
Cedar Creek Mine Ride,Cedar Point,"May 24, 1969",Steel – Mine Train,Arrow Development,48 ft (15 m),"2,540 ft (770 m)",42 mph (68 km/h),0,2:50,2400 riders per hour,,,,,,50
Cheetah Hunt,Busch Gardens Tampa Bay,"May 27, 2011",Steel – Launched,Intamin,102 ft (31 m),"4,429 ft (1,350 m)",60 mph (97 km/h),1,,,,130 ft (40 m),,4,,24
Coast Rider,Knott's Berry Farm,"May 25, 2013",Steel – Wild Mouse,Mack Rides,52 ft (16 m),"1,339 ft (408 m)",,0,2:30,,,,,,,61
Cobra's Curse,Busch Gardens Tampa Bay,"June 17, 2016",Steel – Spinning,Mack Rides,70 ft (21 m),"2,100 ft (640 m)",40 mph (64 km/h),0,,1000 riders per hour,,,,,,24
Colorado Adventure,Phantasialand,"May 11, 1996",Steel – Mine Train,Vekoma,85 ft (26 m),"4,199 ft (1,280 m)",31.1 mph (50.1 km/h),,2:55,"2,300 riders per hour",,,,,,56
Colossos - Kampf der Giganten,Heide Park,"April 13, 2001",Wood,Intamin,50.0 m (164.0 ft),"1,344 m (4,409 ft)",110 km/h (68 mph),0,2:25,"1,030 riders per hour",,48.5 m (159 ft),61°,"-1,5g and 4,5g",,25
Colossus,Thorpe Park,"March 22, 2002",Steel,Intamin,98 ft (30 m),"2,789 ft (850 m)",45 mph (72 km/h),10,1:45,,"£13,500,000",97 ft (30 m),,4.2,,2
Comet,Hersheypark,1946,Wood,Philadelphia Toboggan Coasters,84 ft (26 m),"3,360 ft (1,020 m)",50 mph (80 km/h),,1:45,950 riders per hour,,78 ft (24 m),47°,,,15
Condor,Walibi Holland,May 1994,Steel – Inverted,Vekoma,31 m (102 ft),"662 m (2,172 ft)",80 km/h (50 mph),5,2:02,900 riders per hour,,,,4.5 G (Positive),,53
Copperhead Strike,Carowinds,"March 23, 2019",Steel – Launched,Mack Rides GmbH & Co KG,82 ft (25 m),"3,255 ft (992 m)",50 mph (80 km/h),5,2:24,"1,200 riders per hour","$26,000,000",,,,,59
Corkscrew,Cedar Point,"May 15, 1976",Steel,Arrow Development,85 ft (26 m),"2,050 ft (620 m)",48 mph (77 km/h),3,2:00,"1,800 riders per hour","$1,750,000 USD",65 ft (20 m),45°,,,50
Corkscrew,Valleyfair,1980,Steel,Arrow Dynamics,85 ft (26 m),"1,950 ft (590 m)",50 mph (80 km/h),3,,1300 riders per hour,,,,3.5,,68
Cosmic Coaster,Worlds of Fun,"April 3, 1993",Steel – Junior,Preston & Barbieri,,444 ft (135 m),,0,0:55,,,,,,,63
