Show Name,Season,Day of Week,Air Date,Episode,18-49 Demo,Viewers (millions)
world dance,1,Tues,2017-06-06,01-02,1.90,8.418
world dance,1,Tues,2017-06-13,01-03,1.90,8.039
world dance,1,Tues,2017-06-20,01-04,1.80,7.612
world dance,1,Tues,2017-06-27,01-05,1.80,7.505
world dance,1,Tues,2017-07-11,01-06,1.70,7.075
world dance,1,Tues,2017-07-18,01-07,1.60,6.907
world dance,1,Tues,2017-07-25,01-08,1.60,6.882
world dance,1,Tues,2017-08-01,01-09,1.70,7.004
world dance,1,Tues,2017-08-08,01-10,1.90,8.000
power,4,Sun,2017-06-25,04-01,0.78,1.681
power,4,Sun,2017-07-02,04-02,0.64,1.436
power,4,Sun,2017-07-09,04-03,0.76,1.719
power,4,Sun,2017-07-16,04-04,0.74,1.720
power,4,Sun,2017-07-23,04-05,0.82,1.789
power,4,Sun,2017-07-30,04-06,0.78,1.826
power,4,Sun,2017-08-06,04-07,0.75,1.686
power,4,Sun,2017-08-13,04-08,0.78,1.805
power,4,Sun,2017-08-20,04-09,0.85,1.898
power,4,Sun,2017-09-03,04-10,0.90,1.998
proposal,1,Mon,2018-06-18,01-01,0.80,3.792
proposal,1,Mon,2018-06-25,01-02,0.80,3.560
proposal,1,Mon,2018-07-02,01-03,0.70,3.354
proposal,1,Mon,2018-07-09,01-04,0.70,3.446
proposal,1,Mon,2018-07-16,01-05,0.70,3.300
proposal,1,Mon,2018-07-23,01-06,0.60,2.938
proposal,1,Mon,2018-07-30,01-07,0.60,3.006
proposal,1,Mon,2018-08-13,01-08,0.50,2.451
proposal,1,Mon,2018-08-20,01-09,0.50,2.278
proposal,1,Mon,2018-08-27,01-10,0.50,2.319
9 1 1 lone star,4,Tues,2023-01-24,04-01,0.57,3.921
9 1 1 lone star,4,Tues,2023-01-31,04-02,0.54,4.051
9 1 1 lone star,4,Tues,2023-02-07,04-03,0.45,3.801
9 1 1 lone star,4,Tues,2023-02-14,04-04,0.53,3.650
9 1 1 lone star,4,Tues,2023-02-21,04-05,0.49,3.540
9 1 1 lone star,4,Tues,2023-02-28,04-06,0.46,3.390
9 1 1 lone star,4,Tues,2023-03-07,04-07,0.43,4.080
9 1 1 lone star,4,Tues,2023-03-14,04-08,0.47,3.716
9 1 1 lone star,4,Tues,2023-03-21,04-09,0.41,3.596
9 1 1 lone star,4,Tues,2023-03-28,04-10,0.48,3.896
9 1 1 lone star,4,Tues,2023-04-04,04-11,0.42,3.370
9 1 1 lone star,4,Tues,2023-04-11,04-12,0.39,3.477
9 1 1 lone star,4,Tues,2023-04-18,04-13,0.42,3.357
9 1 1 lone star,4,Tues,2023-04-25,04-14,0.36,3.346
9 1 1 lone star,4,Tues,2023-05-02,04-15,0.43,3.686
9 1 1 lone star,4,Tues,2023-05-09,04-16,0.42,3.372
9 1 1 lone star,4,Tues,2023-05-16,04-17,0.40,3.317
9 1 1 lone star,4,Tues,2023-05-16,04-18,0.40,3.317
charmed,2,Fri,2019-10-11,02-01,0.17,0.649
charmed,2,Fri,2019-10-18,02-02,0.18,0.732
charmed,2,Fri,2019-10-25,02-03,0.21,0.731
charmed,2,Fri,2019-11-01,02-04,0.17,0.659
charmed,2,Fri,2019-11-08,02-05,0.13,0.582
charmed,2,Fri,2019-11-15,02-06,0.16,0.657
charmed,2,Fri,2019-11-22,02-07,0.20,0.767
charmed,2,Fri,2019-12-06,02-08,0.16,0.606
charmed,2,Fri,2020-01-17,02-09,0.17,0.651
charmed,2,Fri,2020-01-24,02-10,0.16,0.590
charmed,2,Fri,2020-01-31,02-11,0.15,0.616
charmed,2,Fri,2020-02-07,02-12,0.18,0.570
charmed,2,Fri,2020-02-21,02-13,0.17,0.600
charmed,2,Fri,2020-02-28,02-14,0.16,0.619
charmed,2,Fri,2020-03-27,02-15,0.20,0.600
charmed,2,Fri,2020-04-03,02-16,0.13,0.574
charmed,2,Fri,2020-04-10,02-17,0.20,0.708
charmed,2,Fri,2020-04-17,02-18,0.18,0.621
charmed,2,Fri,2020-05-01,02-19,0.16,0.581
burden of truth,3,Thurs,2020-05-21,03-01,0.12,0.566
burden of truth,3,Thurs,2020-05-28,03-02,0.09,0.509
burden of truth,3,Thurs,2020-06-04,03-03,0.09,0.487
burden of truth,3,Thurs,2020-06-11,03-04,0.10,0.495
burden of truth,3,Thurs,2020-06-18,03-05,0.08,0.478
burden of truth,3,Thurs,2020-06-25,03-06,0.10,0.554
burden of truth,3,Thurs,2020-07-02,03-07,0.08,0.490
burden of truth,3,Thurs,2020-07-09,03-08,0.08,0.457
true detective,4,Sun,2024-01-14,04-01,0.08,0.565
true detective,4,Sun,2024-01-21,04-02,0.09,0.678
true detective,4,Sun,2024-01-28,04-03,0.11,0.602
true detective,4,Sun,2024-02-04,04-04,0.11,0.722
true detective,4,Sun,2024-02-11,04-05,0.04,0.371
true detective,4,Sun,2024-02-18,04-06,0.19,0.983
south park,22,Weds,2018-09-26,22-01,0.66,1.093
south park,22,Weds,2018-10-03,22-02,0.53,0.925
south park,22,Weds,2018-10-10,22-03,0.59,0.966
south park,22,Weds,2018-10-17,22-04,0.40,0.705
south park,22,Weds,2018-10-31,22-05,0.47,0.842
south park,22,Weds,2018-11-07,22-06,0.46,0.826
south park,22,Weds,2018-11-14,22-07,0.50,0.824
south park,22,Weds,2018-11-28,22-08,0.50,0.832
south park,22,Weds,2018-12-05,22-09,0.43,0.769
south park,22,Weds,2018-12-12,22-10,0.46,0.828
time time,1,Sun,2017-03-05,01-01,0.65,2.539
time time,1,Sun,2017-03-05,01-02,0.65,2.539
time time,1,Sun,2017-03-12,01-03,0.56,2.262
time time,1,Sun,2017-03-19,01-04,0.44,1.789
time time,1,Sun,2017-03-26,01-05,0.44,1.869
bless this mess,2,Tues,2019-09-24,02-01,0.83,3.987
bless this mess,2,Tues,2019-10-01,02-02,0.74,3.798
bless this mess,2,Tues,2019-10-08,02-03,0.76,3.848
bless this mess,2,Tues,2019-10-15,02-04,0.72,3.420
bless this mess,2,Tues,2019-10-29,02-05,0.81,3.845
bless this mess,2,Tues,2019-11-12,02-06,0.63,3.511
bless this mess,2,Tues,2019-11-19,02-07,0.65,3.432
bless this mess,2,Tues,2019-11-26,02-08,0.66,3.584
bless this mess,2,Tues,2019-12-10,02-09,0.61,3.619
bless this mess,2,Tues,2020-01-21,02-10,0.63,3.263
bless this mess,2,Tues,2020-01-28,02-11,0.57,3.388
bless this mess,2,Tues,2020-02-11,02-12,0.65,3.418
bless this mess,2,Tues,2020-02-18,02-13,0.64,3.349
bless this mess,2,Tues,2020-02-25,02-14,0.59,3.139
bless this mess,2,Tues,2020-03-17,02-15,0.73,4.063
bless this mess,2,Tues,2020-03-24,02-16,0.72,4.017
bless this mess,2,Tues,2020-04-07,02-17,0.64,3.820
bless this mess,2,Tues,2020-04-14,02-18,0.57,3.475
bless this mess,2,Tues,2020-04-28,02-19,0.64,3.926
bless this mess,2,Tues,2020-05-05,02-20,0.60,3.820
supernatural,12,Thurs,2016-10-13,12-01,0.83,2.149
supernatural,12,Thurs,2016-10-20,12-02,0.64,1.610
supernatural,12,Thurs,2016-10-27,12-03,0.59,1.683
supernatural,12,Thurs,2016-11-03,12-04,0.69,1.805
supernatural,12,Thurs,2016-11-10,12-05,0.60,1.703
supernatural,12,Thurs,2016-11-17,12-06,0.67,1.795
supernatural,12,Thurs,2016-12-01,12-07,0.65,1.804
supernatural,12,Thurs,2016-12-08,12-08,0.64,1.730
supernatural,12,Thurs,2017-01-26,12-09,0.58,1.720
supernatural,12,Thurs,2017-02-02,12-10,0.62,1.732
supernatural,12,Thurs,2017-02-09,12-11,0.58,1.730
supernatural,12,Thurs,2017-02-16,12-12,0.68,1.811
supernatural,12,Thurs,2017-02-23,12-13,0.57,1.615
supernatural,12,Thurs,2017-03-02,12-14,0.58,1.629
supernatural,12,Thurs,2017-03-09,12-15,0.51,1.493
supernatural,12,Thurs,2017-03-30,12-16,0.59,1.707
supernatural,12,Thurs,2017-04-06,12-17,0.53,1.566
supernatural,12,Thurs,2017-04-13,12-18,0.54,1.551
supernatural,12,Thurs,2017-04-27,12-19,0.47,1.382
supernatural,12,Thurs,2017-05-04,12-20,0.51,1.506
supernatural,12,Thurs,2017-05-11,12-21,0.52,1.420
supernatural,12,Thurs,2017-05-18,12-22,0.58,1.697
supernatural,12,Thurs,2017-05-18,12-23,0.58,1.697
goldbergs,5,Weds,2017-09-27,05-01,1.82,6.197
goldbergs,5,Weds,2017-10-04,05-02,1.59,5.791
goldbergs,5,Weds,2017-10-11,05-03,1.49,5.663
goldbergs,5,Weds,2017-10-18,05-04,1.50,5.615
goldbergs,5,Weds,2017-10-25,05-05,1.40,5.489
goldbergs,5,Weds,2017-11-01,05-06,1.29,4.993
goldbergs,5,Weds,2017-11-15,05-07,1.46,5.631
goldbergs,5,Weds,2017-11-29,05-08,1.43,5.626
goldbergs,5,Weds,2017-12-06,05-09,1.48,5.433
goldbergs,5,Weds,2017-12-13,05-10,1.58,6.076
goldbergs,5,Weds,2018-01-03,05-11,1.50,5.897
goldbergs,5,Weds,2018-01-10,05-12,1.52,6.046
goldbergs,5,Weds,2018-01-17,05-13,1.74,6.520
goldbergs,5,Weds,2018-01-24,05-14,1.66,6.088
goldbergs,5,Weds,2018-02-28,05-15,1.33,5.443
goldbergs,5,Weds,2018-03-07,05-16,1.47,5.580
goldbergs,5,Weds,2018-03-21,05-17,1.55,5.730
goldbergs,5,Weds,2018-03-28,05-18,1.40,5.489
goldbergs,5,Weds,2018-04-04,05-19,1.37,5.367
goldbergs,5,Weds,2018-04-11,05-20,1.28,5.217
goldbergs,5,Weds,2018-05-02,05-21,1.20,4.790
goldbergs,5,Weds,2018-05-09,05-22,1.20,4.743
goldbergs,5,Weds,2018-05-16,05-23,1.20,5.087
fbi,5,Tues,2022-09-20,05-01,0.64,6.806
fbi,5,Tues,2022-09-27,05-02,0.54,7.098
fbi,5,Tues,2022-10-04,05-03,0.57,6.967
fbi,5,Tues,2022-10-11,05-04,0.55,7.406
fbi,5,Tues,2022-10-18,05-05,0.53,7.105
fbi,5,Sun,2022-11-06,05-06,0.63,6.875
fbi,5,Tues,2022-11-15,05-07,0.50,7.312
fbi,5,Tues,2022-11-22,05-08,0.53,7.543
fbi,5,Tues,2022-12-13,05-09,0.51,7.390
fbi,5,Tues,2023-01-03,05-10,0.60,7.591
fbi,5,Tues,2023-01-10,05-11,0.61,7.443
fbi,5,Tues,2023-01-24,05-12,0.59,7.468
fbi,5,Tues,2023-02-14,05-13,0.52,7.196
fbi,5,Tues,2023-02-21,05-14,0.48,6.892
fbi,5,Tues,2023-02-28,05-15,0.52,6.807
fbi,5,Tues,2023-03-14,05-16,0.45,7.164
fbi,5,Tues,2023-04-04,05-17,0.49,6.544
fbi,5,Tues,2023-04-11,05-18,0.46,6.837
fbi,5,Tues,2023-04-18,05-19,0.41,6.763
fbi,5,Tues,2023-04-25,05-20,0.43,6.804
fbi,5,Tues,2023-05-09,05-21,0.41,6.458
fbi,5,Tues,2023-05-16,05-22,0.45,6.575
fbi,5,Tues,2023-05-23,05-23,0.42,6.540
the third day,1,Mon,2020-09-14,01-01,0.02,0.207
the third day,1,Mon,2020-09-21,01-02,0.02,0.183
the third day,1,Mon,2020-09-28,01-03,0.04,0.144
the third day,1,Mon,2020-10-05,01-04,0.01,0.106
the third day,1,Mon,2020-10-12,01-05,0.02,0.167
the third day,1,Mon,2020-10-19,01-06,0.03,0.174
voice,14,Mon,2018-02-26,,2.80,12.313
voice,14,Mon,2018-03-05,,2.50,11.622
voice,14,Mon,2018-03-12,,2.38,11.872
voice,14,Mon,2018-03-19,,2.28,10.828
voice,14,Mon,2018-03-26,,2.00,10.500
voice,14,Mon,2018-04-02,,1.88,10.028
voice,14,Mon,2018-04-09,,1.87,9.856
voice,14,Mon,2018-04-16,,1.80,9.351
voice,14,Mon,2018-04-23,,1.50,8.432
voice,14,Mon,2018-04-30,,1.70,8.818
voice,14,Mon,2018-05-07,,1.50,8.381
voice,14,Mon,2018-05-14,,1.60,8.705
voice,14,Mon,2018-05-21,,1.50,8.665
krypton,1,Weds,2018-03-21,01-01,0.42,1.319
krypton,1,Weds,2018-03-28,01-02,0.30,1.076
krypton,1,Weds,2018-04-04,01-03,0.29,0.955
krypton,1,Weds,2018-04-11,01-04,0.25,0.873
krypton,1,Weds,2018-04-18,01-05,0.22,0.725
krypton,1,Weds,2018-04-25,01-06,0.17,0.597
krypton,1,Weds,2018-05-02,01-07,0.17,0.630
krypton,1,Weds,2018-05-09,01-08,0.17,0.528
krypton,1,Weds,2018-05-16,01-09,0.19,0.606
krypton,1,Weds,2018-05-23,01-10,0.14,0.557
12 monkeys,4,Fri,2018-06-15,04-01,0.07,0.336
12 monkeys,4,Fri,2018-06-15,04-02,0.04,0.259
12 monkeys,4,Fri,2018-06-15,04-03,0.03,0.215
12 monkeys,4,Fri,2018-06-22,04-04,0.09,0.336
12 monkeys,4,Fri,2018-06-22,04-05,0.05,0.273
12 monkeys,4,Fri,2018-06-22,04-06,0.05,0.264
12 monkeys,4,Fri,2018-06-29,04-07,0.06,0.293
12 monkeys,4,Fri,2018-06-29,04-08,0.04,0.243
12 monkeys,4,Fri,2018-06-29,04-09,0.04,0.254
12 monkeys,4,Fri,2018-07-06,04-10,0.10,0.384
12 monkeys,4,Fri,2018-07-06,04-11,0.07,0.331
bluff city law,1,Mon,2019-09-23,01-01,0.81,4.605
bluff city law,1,Mon,2019-09-30,01-02,0.69,4.246
bluff city law,1,Mon,2019-10-07,01-03,0.59,3.706
bluff city law,1,Mon,2019-10-14,01-04,0.50,3.390
bluff city law,1,Mon,2019-10-21,01-05,0.51,3.495
bluff city law,1,Mon,2019-10-28,01-06,0.53,3.559
bluff city law,1,Mon,2019-11-04,01-07,0.46,3.200
bluff city law,1,Mon,2019-11-11,01-08,0.51,3.588
bluff city law,1,Mon,2019-11-18,01-09,0.50,3.519
bluff city law,1,Mon,2019-11-25,01-10,0.48,3.249
leftovers,3,Sun,2017-04-16,03-01,0.39,0.895
leftovers,3,Sun,2017-04-23,03-02,0.34,0.776
leftovers,3,Sun,2017-04-30,03-03,0.36,0.846
leftovers,3,Sun,2017-05-07,03-04,0.29,0.812
leftovers,3,Sun,2017-05-14,03-05,0.38,0.919
leftovers,3,Sun,2017-05-21,03-06,0.29,0.770
leftovers,3,Sun,2017-05-28,03-07,0.30,0.804
leftovers,3,Sun,2017-06-04,03-08,0.43,1.049
sally4ever,1,Sun,2018-11-11,01-01,0.03,0.165
sally4ever,1,Sun,2018-11-18,01-02,0.04,0.142
sally4ever,1,Sun,2018-11-25,01-03,0.05,0.152
sally4ever,1,Sun,2018-12-02,01-04,0.03,0.133
sally4ever,1,Sun,2018-12-09,01-05,0.03,0.090
sally4ever,1,Sun,2018-12-16,01-06,0.04,0.121
sally4ever,1,Sun,2018-12-23,01-07,0.03,0.127
the watch,1,Sun,2021-01-03,01-01,0.05,0.274
the watch,1,Sun,2021-01-03,01-02,0.05,0.274
the watch,1,Sun,2021-01-10,01-03,0.04,0.248
the watch,1,Sun,2021-01-17,01-04,0.04,0.242
the watch,1,Sun,2021-01-24,01-05,0.02,0.185
the watch,1,Sun,2021-01-31,01-06,0.04,0.233
the watch,1,Sun,2021-02-07,01-07,0.03,0.143
the watch,1,Sun,2021-02-14,01-08,0.02,0.130
20 20 in an instant tv show,4,Sat,2018-08-04,04-01,0.30,2.015
still the king,2,Tues,2017-07-11,02-01,0.05,0.138
still the king,2,Tues,2017-07-11,02-02,0.04,0.114
still the king,2,Tues,2017-07-18,02-03,0.04,0.111
still the king,2,Tues,2017-07-25,02-04,0.04,0.160
still the king,2,Tues,2017-07-25,02-05,0.02,0.088
still the king,2,Tues,2017-08-01,02-06,0.04,0.103
still the king,2,Tues,2017-08-01,02-07,0.02,0.073
still the king,2,Weds,2017-08-09,02-08,0.03,0.057
still the king,2,Weds,2017-08-09,02-09,0.02,0.042
still the king,2,Weds,2017-08-16,02-10,0.03,0.089
still the king,2,Weds,2017-08-16,02-11,0.03,0.084
still the king,2,Weds,2017-08-23,02-12,0.05,0.109
still the king,2,Weds,2017-08-23,02-13,0.03,0.080
steve harveys funderdome,1,Sun,2017-06-11,01-01,1.30,6.148
steve harveys funderdome,1,Sun,2017-06-18,01-02,1.00,5.119
steve harveys funderdome,1,Sun,2017-06-25,01-03,1.10,5.471
steve harveys funderdome,1,Sun,2017-07-09,01-04,0.90,4.677
steve harveys funderdome,1,Sun,2017-07-16,01-05,0.80,4.428
steve harveys funderdome,1,Sun,2017-07-23,01-06,0.80,4.256
steve harveys funderdome,1,Sun,2017-07-30,01-07,0.80,3.961
steve harveys funderdome,1,Sun,2017-08-06,01-08,0.70,4.261
steve harveys funderdome,1,Sun,2017-08-13,01-09,0.80,3.892
steve harveys funderdome,1,Sun,2017-08-20,01-10,0.80,4.230
steve harveys funderdome,1,Sun,2017-08-27,01-11,0.70,3.970
steve harveys funderdome,1,Sun,2017-09-17,01-12,0.60,2.975
steve harveys funderdome,1,Sun,2017-09-24,01-13,0.80,3.890
cbsn on assignment,1,Mon,2017-07-31,01-01,0.40,2.730
cbsn on assignment,1,Mon,2017-08-07,01-02,0.40,2.423
cbsn on assignment,1,Mon,2017-08-14,01-03,0.40,2.742
cbsn on assignment,1,Mon,2017-08-21,01-04,0.40,2.719
delilah,1,Tues,2021-03-09,01-01,0.07,0.387
delilah,1,Tues,2021-03-09,01-02,0.04,0.316
delilah,1,Tues,2021-03-16,01-03,0.06,0.316
delilah,1,Tues,2021-03-23,01-04,0.05,0.297
delilah,1,Tues,2021-04-06,01-05,0.05,0.332
delilah,1,Tues,2021-04-13,01-06,0.06,0.323
delilah,1,Tues,2021-04-20,01-07,0.05,0.320
delilah,1,Tues,2021-04-27,01-08,0.04,0.275
the good doctor,6,Mon,2022-10-03,06-01,0.39,3.543
the good doctor,6,Mon,2022-10-10,06-02,0.25,3.182
the good doctor,6,Mon,2022-10-17,06-03,0.34,3.000
the good doctor,6,Mon,2022-10-24,06-04,0.33,3.196
the good doctor,6,Mon,2022-10-31,06-05,0.29,3.312
the good doctor,6,Mon,2022-11-21,06-06,0.32,3.090
the good doctor,6,Mon,2022-11-28,06-07,0.33,3.317
the good doctor,6,Mon,2022-12-05,06-08,0.36,3.215
the good doctor,6,Mon,2022-12-12,06-09,0.30,3.563
the good doctor,6,Mon,2023-01-23,06-10,0.32,3.286
the good doctor,6,Mon,2023-01-30,06-11,0.34,3.430
the good doctor,6,Mon,2023-02-06,06-12,0.28,3.139
the good doctor,6,Mon,2023-02-13,06-13,0.29,3.087
the good doctor,6,Mon,2023-02-27,06-14,0.30,3.119
the good doctor,6,Mon,2023-03-06,06-15,0.32,3.332
the good doctor,6,Mon,2023-03-13,06-16,0.31,3.412
the good doctor,6,Mon,2023-03-20,06-17,0.34,3.475
the good doctor,6,Mon,2023-04-03,06-18,0.29,3.347
the good doctor,6,Mon,2023-04-10,06-19,0.35,3.403
the good doctor,6,Mon,2023-04-17,06-20,0.30,3.476
the good doctor,6,Mon,2023-04-24,06-21,0.34,3.692
the good doctor,6,Mon,2023-05-01,06-22,0.32,3.873
the final straw,1,Sun,2022-07-10,01-01,0.42,3.007
the final straw,1,Sun,2022-07-17,01-02,0.34,2.568
the final straw,1,Sun,2022-07-24,01-03,0.39,2.512
the final straw,1,Sun,2022-07-31,01-04,0.26,1.906
the final straw,1,Sun,2022-08-07,01-05,0.29,2.091
the final straw,1,Sun,2022-08-14,01-06,0.29,2.070
the final straw,1,Sun,2022-08-21,01-07,0.30,1.974
the final straw,1,Sun,2022-08-28,01-08,0.21,1.717
the final straw,1,Sun,2022-09-11,01-09,0.28,1.568
the final straw,1,Sun,2022-09-18,01-10,0.17,1.449
chicago fire,10,Weds,2021-09-22,10-01,0.86,7.275
chicago fire,10,Weds,2021-09-29,10-02,0.85,7.356
chicago fire,10,Weds,2021-10-06,10-03,0.80,7.178
chicago fire,10,Weds,2021-10-13,10-04,0.83,7.249
chicago fire,10,Weds,2021-10-20,10-05,0.81,7.358
chicago fire,10,Weds,2021-10-27,10-06,0.74,6.801
chicago fire,10,Weds,2021-11-03,10-07,0.78,7.002
chicago fire,10,Weds,2021-11-10,10-08,0.70,6.629
chicago fire,10,Weds,2021-12-08,10-09,0.74,6.764
chicago fire,10,Weds,2022-01-05,10-10,0.86,7.150
chicago fire,10,Weds,2022-01-12,10-11,0.85,7.411
chicago fire,10,Weds,2022-01-19,10-12,0.85,7.272
chicago fire,10,Weds,2022-02-23,10-13,0.77,6.827
chicago fire,10,Weds,2022-03-02,10-14,0.81,6.886
chicago fire,10,Weds,2022-03-09,10-15,0.91,7.136
chicago fire,10,Weds,2022-03-16,10-16,0.75,6.656
chicago fire,10,Weds,2022-04-06,10-17,0.81,7.394
chicago fire,10,Weds,2022-04-13,10-18,0.82,7.200
chicago fire,10,Weds,2022-04-20,10-19,0.77,7.213
chicago fire,10,Weds,2022-05-11,10-20,0.68,6.778
chicago fire,10,Weds,2022-05-18,10-21,0.69,6.790
chicago fire,10,Weds,2022-05-25,10-22,0.80,7.030
dublin murders,1,Sun,2019-11-10,01-01,0.03,0.306
dublin murders,1,Sun,2019-11-17,01-02,0.03,0.176
dublin murders,1,Sun,2019-11-24,01-03,0.02,0.219
dublin murders,1,Sun,2019-12-01,01-04,0.02,0.191
dublin murders,1,Sun,2019-12-08,01-05,0.03,0.231
dublin murders,1,Sun,2019-12-15,01-06,0.03,0.287
dublin murders,1,Sun,2019-12-22,01-07,0.03,0.258
dublin murders,1,Sun,2019-12-29,01-08,0.04,0.240
run the world,1,Sun,2021-05-16,01-01,0.01,0.060
run the world,1,Sun,2021-05-23,01-02,0.01,0.100
run the world,1,Sun,2021-05-30,01-03,0.03,0.080
run the world,1,Sun,2021-06-06,01-04,0.02,0.102
run the world,1,Sun,2021-06-13,01-05,0.01,0.070
run the world,1,Sun,2021-06-27,01-06,0.02,0.067
run the world,1,Sun,2021-07-04,01-07,0.01,0.070
run the world,1,Sun,2021-07-11,01-08,0.02,0.060
masters of illusion,11,Sat,2022-04-09,11-01,0.08,0.445
masters of illusion,11,Sat,2022-04-16,11-02,0.03,0.260
masters of illusion,11,Sat,2022-04-23,11-03,0.04,0.307
masters of illusion,11,Sat,2022-04-30,11-04,0.03,0.244
masters of illusion,11,Sat,2022-05-07,11-05,0.04,0.367
masters of illusion,11,Sat,2022-05-14,11-06,0.04,0.255
masters of illusion,11,Sat,2022-05-21,11-07,0.09,0.437
masters of illusion,11,Sat,2022-06-04,11-08,0.05,0.268
masters of illusion,11,Sat,2022-06-11,11-09,0.02,0.260
masters of illusion,11,Sat,2022-06-18,11-10,0.03,0.263
masters of illusion,11,Sat,2022-06-25,11-11,0.03,0.320
masters of illusion,11,Sat,2022-07-09,11-12,0.03,0.321
masters of illusion,11,Sat,2022-07-16,11-13,0.05,0.381
masters of illusion,11,Sat,2022-08-13,11-14,0.04,0.253
masters of illusion,11,Sat,2022-08-20,11-15,0.04,0.316
masters of illusion,11,Sat,2022-08-27,11-16,0.06,0.389
masters of illusion,11,Sat,2022-09-10,11-17,0.05,0.279
masters of illusion,11,Sat,2022-09-17,11-18,0.04,0.287
penn teller fool us,4,Thurs,2017-07-13,04-01,0.40,1.622
penn teller fool us,4,Thurs,2017-07-20,04-02,0.40,1.719
penn teller fool us,4,Thurs,2017-07-27,04-03,0.40,1.561
penn teller fool us,4,Thurs,2017-08-03,04-04,0.40,1.636
penn teller fool us,4,Thurs,2017-08-10,04-05,0.30,1.525
penn teller fool us,4,Thurs,2017-08-17,04-06,0.40,1.490
penn teller fool us,4,Thurs,2017-08-24,04-07,0.40,1.477
penn teller fool us,4,Thurs,2017-09-07,04-08,0.40,1.418
penn teller fool us,4,Thurs,2017-09-14,04-09,0.40,1.482
penn teller fool us,4,Thurs,2017-09-21,04-10,0.40,1.552
penn teller fool us,4,Mon,2017-09-25,04-11,0.20,0.877
penn teller fool us,4,Thurs,2017-09-28,04-12,0.40,1.659
penn teller fool us,4,Thurs,2017-11-30,04-13,0.30,1.138
to tell the truth,3,Sun,2018-06-10,03-01,0.80,4.233
to tell the truth,3,Sun,2018-06-17,03-02,0.80,3.890
to tell the truth,3,Sun,2018-06-24,03-03,0.80,4.530
to tell the truth,3,Sun,2018-07-08,03-04,0.70,3.929
to tell the truth,3,Sun,2018-07-15,03-05,0.80,4.080
to tell the truth,3,Sun,2018-07-22,03-06,0.80,3.797
to tell the truth,3,Sun,2018-07-29,03-07,0.70,3.687
to tell the truth,3,Sun,2018-08-05,03-08,0.70,3.724
to tell the truth,3,Sun,2018-08-12,03-09,0.70,3.603
to tell the truth,3,Sun,2018-08-19,03-10,0.60,3.420
to tell the truth,3,Sun,2018-08-26,03-11,0.80,3.838
outcast,2,Fri,2018-07-20,02-01,0.07,0.149
outcast,2,Fri,2018-07-27,02-02,0.02,0.091
outcast,2,Fri,2018-08-03,02-03,0.02,0.081
outcast,2,Fri,2018-08-10,02-04,0.02,0.049
outcast,2,Fri,2018-08-17,02-05,0.05,0.157
outcast,2,Fri,2018-08-24,02-06,0.04,0.113
outcast,2,Fri,2018-09-07,02-07,0.03,0.117
outcast,2,Fri,2018-09-14,02-08,0.03,0.098
outcast,2,Fri,2018-09-21,02-09,0.03,0.093
outcast,2,Fri,2018-09-28,02-10,0.05,0.108
ncis los angeles,11,Sun,2019-09-29,11-01,0.76,6.442
ncis los angeles,11,Sun,2019-10-06,11-02,0.67,6.703
ncis los angeles,11,Sun,2019-10-13,11-03,0.80,6.633
ncis los angeles,11,Sun,2019-10-20,11-04,0.67,6.401
ncis los angeles,11,Sun,2019-10-27,11-05,0.69,6.089
ncis los angeles,11,Sun,2019-11-03,11-06,0.58,5.709
ncis los angeles,11,Sun,2019-11-10,11-07,0.61,6.044
ncis los angeles,11,Sun,2019-11-17,11-08,0.75,6.506
ncis los angeles,11,Sun,2019-11-24,11-09,0.66,6.350
ncis los angeles,11,Sun,2019-12-01,11-10,0.76,6.417
ncis los angeles,11,Sun,2019-12-08,11-11,0.70,6.424
ncis los angeles,11,Sun,2020-01-05,11-12,0.51,5.723
ncis los angeles,11,Sun,2020-01-12,11-13,0.82,6.374
ncis los angeles,11,Sun,2020-02-16,11-14,0.57,6.046
ncis los angeles,11,Sun,2020-02-23,11-15,0.64,6.202
ncis los angeles,11,Sun,2020-03-01,11-16,0.66,6.487
ncis los angeles,11,Sun,2020-03-08,11-17,0.64,6.564
ncis los angeles,11,Sun,2020-03-22,11-18,0.78,7.438
ncis los angeles,11,Sun,2020-03-29,11-19,0.71,7.009
ncis los angeles,11,Sun,2020-04-12,11-20,0.74,6.766
ncis los angeles,11,Sun,2020-04-19,11-21,0.63,6.893
ncis los angeles,11,Sun,2020-04-26,11-22,0.54,5.259
who wants to be a millionaire,1,Weds,2020-04-08,01-01,1.09,6.204
who wants to be a millionaire,1,Weds,2020-04-15,01-02,0.60,3.832
who wants to be a millionaire,1,Weds,2020-04-22,01-03,0.52,3.678
who wants to be a millionaire,1,Thurs,2020-04-30,01-04,0.85,6.212
who wants to be a millionaire,1,Thurs,2020-05-07,01-05,0.88,6.197
who wants to be a millionaire,1,Thurs,2020-05-14,01-06,0.88,6.497
who wants to be a millionaire,1,Thurs,2020-05-21,01-07,0.76,5.966
who wants to be a millionaire,1,Thurs,2020-05-28,01-08,0.90,6.065
who wants to be a millionaire,1,Thurs,2020-06-04,01-09,0.85,6.508
a discovery of witches,1,Sun,2019-04-07,01-01,0.03,0.225
a discovery of witches,1,Sun,2019-04-14,01-02,0.04,0.171
a discovery of witches,1,Sun,2019-04-21,01-03,0.02,0.137
a discovery of witches,1,Sun,2019-04-28,01-04,0.05,0.191
