IMDB Series ID,IMDB Episode ID,Type,Text
tt0121955,tt0705936,S,"A character talks about sodomy.

     





Edit"
tt0121955,tt0705936,V,"Kyle slaps Cartman.

     





Edit"
tt0121955,tt0705936,V,"The Canadian prime minister who is really saddam hussaine shoots a lazer out his eye killing kenny.

     





Edit"
tt0121955,tt0705936,P,"a french canadian is heard saying bullshit canada which is uncensored people think he sayed booshe canada

     





Edit"
tt0121955,tt0705936,P,"a chinese guy says city as shity

     





Edit"
tt0121955,tt0705936,P,"other profanity is used throughout some strong as always (eg:fuck)

     





Edit"
tt0121955,tt0705936,I,"None

     





Edit"
tt7211618,tt8337520,S,"Ann and Anne are having sex in a bed, part of Anne's naked rear end is seen.

     





Edit"
tt0206512,tt8260944,I,"The Night Patty is a fairly scary episode. Caution before showing younger viewers.

     





Edit"
tt0206512,tt8260944,I,"Nosferatu is back in this episode.

     





Edit"
tt0141842,tt0705290,S,"Finn sneaks a peek at a woman's thong underwear when she is bent over.

     





Edit"
tt0141842,tt0705290,V,"A man brutally smashes a glass bottle to another man's head. Afterwards, we see the totally bloody man's face while he's lying in the floor. This scene is pretty brutal.

     





Edit"
tt0141842,tt0705290,P,"Constant uses of ""fuck"" and ""shit"".

     





Edit"
tt0141842,tt0705290,D,"Constant drinking and smoking.

     





Edit"
tt0141842,tt0705290,I,"The scene where a man smashes the bottle in another man's head is actually very graphic and hard to watch, even thought it is shown for a very little period of time.

     





Edit"
tt0182576,tt0888819,S,"None

     





Edit"
tt0182576,tt0888819,V,"Peter griffin beats up a teenage boy because he called him names/insults

     





Edit"
tt0182576,tt0888819,V,"Chris gets pushed by a 13-year old boy, and his nose is bleeding.

     





Edit"
tt0182576,tt0888819,P,"3 uses of 'fuck.' 5 uses of 'shit.' 2 uses of 'damn.'

     





Edit"
tt0182576,tt0888819,D,"None

     





Edit"
tt0182576,tt0888819,I,"91.- The Tan Aquatic With Steve Zissou - TV-14-DLSV.

     





Edit"
tt0182576,tt0888819,I,"Stewie is in the sun-bed for 6 and a half hours, and is all burnt.

     





Edit"
tt0972534,tt1693609,I,"Room on fire can scare young viewers a little.

     





Edit"
tt5788792,tt7772296,S,"Contains full-frontal male nudity involving an artist's model. The model's legs are open and there is no lighting or camera angles to obscure the genitalia, very graphic.

     





Edit"
tt5788792,tt7772296,S,"Very mild

     





Edit"
tt4786824,tt8071424,S,"None.

     





Edit"
tt4786824,tt8071424,V,"None.

     





Edit"
