Show Name,Season,Href
becoming elizabeth,season one,https://tvseriesfinale.com/tv-show/becoming-elizabeth-season-one-ratings/
mary jane,season four,https://tvseriesfinale.com/tv-show/mary-jane-season-four-ratings/
being rueben,season one,https://tvseriesfinale.com/tv-show/being-rueben-season-one-ratings/
better call saul,season two,https://tvseriesfinale.com/tv-show/better-call-saul-season-two-ratings/
better call saul,season three,https://tvseriesfinale.com/tv-show/better-call-saul-season-three-ratings/
better call saul,season four,https://tvseriesfinale.com/tv-show/better-call-saul-season-four-ratings/
better call saul,season five,https://tvseriesfinale.com/tv-show/better-call-saul-season-five-ratings/
better call saul,season six,https://tvseriesfinale.com/tv-show/better-call-saul-season-six-ratings/
better late never,season two,https://tvseriesfinale.com/tv-show/better-late-never-season-two-ratings/
better things,season one,https://tvseriesfinale.com/tv-show/better-things-season-one-ratings/
better things,season two,https://tvseriesfinale.com/tv-show/better-things-season-two-ratings/
better things,season three,https://tvseriesfinale.com/tv-show/better-things-season-three-ratings/
better things,season four,https://tvseriesfinale.com/tv-show/better-things-season-four-ratings/
better things,season five,https://tvseriesfinale.com/tv-show/better-things-season-five-ratings/
beyond,season one,https://tvseriesfinale.com/tv-show/beyond-season-one-ratings/
beyond,season two,https://tvseriesfinale.com/tv-show/beyond-season-two-ratings/
bh90210,season one,https://tvseriesfinale.com/tv-show/bh90210-season-one-ratings/
big bang theory,season 11,https://tvseriesfinale.com/tv-show/big-bang-theory-season-11-ratings/
big bang theory,season 12,https://tvseriesfinale.com/tv-show/big-bang-theory-season-12-ratings/
big brother,season 18,https://tvseriesfinale.com/tv-show/big-brother-season-18-ratings/
big brother,season 20,https://tvseriesfinale.com/tv-show/big-brother-season-20-ratings/
big brother,season 21,https://tvseriesfinale.com/tv-show/big-brother-season-21-ratings/
big brother,season 22,https://tvseriesfinale.com/tv-show/big-brother-season-22-ratings/
big brother,season 23,https://tvseriesfinale.com/tv-show/big-brother-season-23-ratings/
big brother,season 24,https://tvseriesfinale.com/tv-show/big-brother-season-24-ratings/
big brother,season 25,https://tvseriesfinale.com/tv-show/big-brother-season-25-ratings/
big brother reindeer games,season one,https://tvseriesfinale.com/tv-show/big-brother-reindeer-games-season-one-ratings/
celebrity big brother,season three,https://tvseriesfinale.com/tv-show/celebrity-big-brother-season-three-ratings/
big fan,season one,https://tvseriesfinale.com/tv-show/big-fan-season-one-ratings/
the big leap,season one,https://tvseriesfinale.com/tv-show/the-big-leap-season-one-ratings/
big little lies,season one,https://tvseriesfinale.com/tv-show/big-little-lies-season-one-ratings/
big little lies,season two,https://tvseriesfinale.com/tv-show/big-little-lies-season-two-ratings/
big sky,season one,https://tvseriesfinale.com/tv-show/big-sky-season-one-ratings/
big sky,season two,https://tvseriesfinale.com/tv-show/big-sky-season-two-ratings/
big sky,season three,https://tvseriesfinale.com/tv-show/big-sky-season-three-ratings/
the big stage,season one,https://tvseriesfinale.com/tv-show/the-big-stage-season-one-ratings/
billions,season two,https://tvseriesfinale.com/tv-show/billions-season-two-ratings/
billions,season three,https://tvseriesfinale.com/tv-show/billions-season-three-ratings/
billions,season four,https://tvseriesfinale.com/tv-show/billions-season-four-ratings/
billions,season five,https://tvseriesfinale.com/tv-show/billions-season-five-ratings/
billions,season six,https://tvseriesfinale.com/tv-show/billions-season-six-ratings/
billions,season seven,https://tvseriesfinale.com/tv-show/billions-season-seven-ratings/
bitten,season three,https://tvseriesfinale.com/tv-show/bitten-season-three-ratings/
black lightning,season one,https://tvseriesfinale.com/tv-show/black-lightning-season-one-ratings/
black lightning,season two,https://tvseriesfinale.com/tv-show/black-lightning-season-two-ratings/
black lightning,season three,https://tvseriesfinale.com/tv-show/black-lightning-season-three-ratings/
black lightning,season four,https://tvseriesfinale.com/tv-show/black-lightning-season-four-ratings/
black monday,season one,https://tvseriesfinale.com/tv-show/black-monday-season-one-ratings/
black monday,season two,https://tvseriesfinale.com/tv-show/black-monday-season-two-ratings/
black monday,season three,https://tvseriesfinale.com/tv-show/black-monday-season-three-ratings/
black sails,season four,https://tvseriesfinale.com/tv-show/black-sails-season-four-ratings/
black ish,season three,https://tvseriesfinale.com/tv-show/black-ish-season-three-ratings/
black ish,season four,https://tvseriesfinale.com/tv-show/black-ish-season-four-ratings/
black ish,season five,https://tvseriesfinale.com/tv-show/black-ish-season-five-ratings/
black ish,season six,https://tvseriesfinale.com/tv-show/black-ish-season-six-ratings/
black ish,season seven,https://tvseriesfinale.com/tv-show/black-ish-season-seven-ratings/
black ish,season eight,https://tvseriesfinale.com/tv-show/black-ish-season-eight-ratings/
the blacklist,season one,https://tvseriesfinale.com/tv-show/the-blacklist-season-one-ratings/
blacklist,season five,https://tvseriesfinale.com/tv-show/blacklist-season-five-ratings/
the blacklist,season six,https://tvseriesfinale.com/tv-show/the-blacklist-season-six-ratings/
the blacklist,season seven,https://tvseriesfinale.com/tv-show/the-blacklist-season-seven-ratings/
the blacklist,season eight,https://tvseriesfinale.com/tv-show/the-blacklist-season-eight-ratings/
the blacklist,season nine,https://tvseriesfinale.com/tv-show/the-blacklist-season-nine-ratings/
