county_fips,state_po,x,n,y,population_group
26095,MI,2011,4262,4,tiny
26097,MI,2011,8968,23,tiny
26099,MI,2011,701434,2094,very large
26101,MI,2011,18469,37,small
26103,MI,2011,49914,-28,small
26105,MI,2011,23018,49,small
26107,MI,2011,27428,70,small
26109,MI,2011,18567,10,small
26111,MI,2011,69207,-3,medium
26113,MI,2011,11693,-49,small
26115,MI,2011,125724,76,large
26117,MI,2011,47269,14,small
26119,MI,2011,6966,-19,tiny
26121,MI,2011,131249,168,large
26123,MI,2011,37569,-31,small
26125,MI,2011,1007283,3060,enormous
26127,MI,2011,21231,-105,small
26129,MI,2011,15690,51,small
26131,MI,2011,4682,-26,tiny
26133,MI,2011,17584,26,small
26135,MI,2011,6109,53,tiny
26137,MI,2011,19883,1,small
26139,MI,2011,224632,657,large
26141,MI,2011,10617,-8,small
26143,MI,2011,17527,76,small
26145,MI,2011,154176,-549,large
26147,MI,2011,132058,-97,large
26149,MI,2011,49499,-56,small
26151,MI,2011,34008,-23,small
26153,MI,2011,6132,56,tiny
26155,MI,2011,56290,-74,medium
26157,MI,2011,44739,-87,small
26159,MI,2011,61261,-126,medium
26161,MI,2011,253841,-800,large
26163,MI,2011,1349255,-6838,enormous
26165,MI,2011,24806,30,small
27001,MN,2011,11371,161,small
27003,MN,2011,281621,738,large
27005,MN,2011,26595,-42,small
27007,MN,2011,32766,-134,small
27009,MN,2011,30237,-57,small
27011,MN,2011,4142,21,tiny
27013,MN,2011,44196,71,small
27015,MN,2011,22013,-56,small
27017,MN,2011,27410,-40,small
27019,MN,2011,82152,445,medium
27021,MN,2011,22709,-76,small
27023,MN,2011,10256,-28,small
27025,MN,2011,44152,-29,small
27027,MN,2011,44526,-140,small
27029,MN,2011,6604,3,tiny
27031,MN,2011,4261,-18,tiny
27033,MN,2011,10024,-6,small
27035,MN,2011,49839,5,small
27037,MN,2011,348591,488,large
27039,MN,2011,17458,136,small
27041,MN,2011,30497,-17,small
27043,MN,2011,12001,-103,small
27045,MN,2011,17302,-17,small
27047,MN,2011,26223,11,small
27049,MN,2011,39244,-136,small
27051,MN,2011,5039,-53,tiny
27053,MN,2011,956159,-994,very large
27055,MN,2011,16474,-55,small
27057,MN,2011,15184,227,small
27059,MN,2011,30516,-48,small
27061,MN,2011,35572,-6,small
27063,MN,2011,8765,23,tiny
27065,MN,2011,12145,-52,small
27067,MN,2011,36044,-105,small
27069,MN,2011,3751,14,tiny
27071,MN,2011,10358,-32,small
27073,MN,2011,6114,-2,tiny
27075,MN,2011,8551,18,tiny
27077,MN,2011,3222,1,tiny
27079,MN,2011,22777,247,small
27081,MN,2011,4619,4,tiny
27083,MN,2011,20839,-117,small
27085,MN,2011,31158,-79,small
27087,MN,2011,3866,46,tiny
27089,MN,2011,8054,-11,tiny
27091,MN,2011,17727,-39,small
27093,MN,2011,19387,39,small
27095,MN,2011,19957,-66,small
27097,MN,2011,27751,14,small
27099,MN,2011,33475,-363,small
27101,MN,2011,7187,-7,tiny
27103,MN,2011,25551,-41,small
